subjectnumber,condition,context,judgment,justification,fairness,no.bad.impact,bad.impact,once,chain.reaction,others.want,secret,agreement,resource,universalization,virtues
71,High,Rocks,0,"""I don't know""",,,,,,,,,,,
92,Low,Rocks,0,"""I don't know""",,,,,,,,,,,
250,High,Rocks,0,"""I don't know""",,,,,,,,,,,
159,Low,Rocks,1,"""I forgot""",,,,,,,,,,,
257,Low,Rocks,1,"""I have a rock collection""",,,,,,,,,,,
235,High,Rocks,1,(no explanation),,,,,,,,,,,
69,Low,Buckets,1,"(originally not okay ""Because it's the fish's."") Changed to okay because there's no one else around",,1,,,,,1,,,,
R_0iyZStYihj24PId,High,Rocks,1,"Again, there is no official rule presented in the story that says one can not take a rock.",,,,1,,,,,,,
269,High,Buckets,0,All the fishes live in the water and they need water to live.,,,,,,,,,,,
R_3nUFQr8ZveQc2R9,High,Buckets,0,"Although no one would see her do it, it's still not moral. Just once could lead to the same kind of thinking from other people and end up emptying the lake.",,,,,1,,,,,,
R_RFaGIZevPYQY9l7,Low,Rocks,1,"As long as it's only one and he isn't greedy. And we know for a fact, there will NEVER be any other kids that want to take rocks. In the case, I'd say it's a victim-less crime. But this is operating under extreme circumstances. I really think the answer should be no, but given the hypothetical...",,1,,1,,,,,,,
188,Low,Rocks,1,As long as the kids don't start liking (and taking) rocks,,,,,,1,,,,,
264,High,Rocks,0,Beacuse he would take a rock before anyone else could,,,,,,,,,,,
258,High,Rocks,1,Beacuse there's lots of other rocks.,,1,,,,,,,,,
256,Low,Buckets,0,Beause there would be no more water in the spot that she took it,,,1,,,,,,1,,
233,High,Buckets,0,becasue of she takes too much water then the fish can't swim and they will die,,,,,,,,,,,
R_2amFQvzsKvYBlmS,Low,Rocks,0,because a couple more people like Jacob and it could destroy the path,,,,,1,,,,1,,
R_3GfZdpO7lUZXC6o,High,Buckets,0,Because all the kids wanted to do it ,,,,,,1,,,,,
R_V1OJw2HZWuOcqJj,High,Rocks,0,because all the other kids also wanted rocks form the path ,,,,,,1,,,,,
173,High,Rocks,1,Because everyone could share.,,1,,,,,,,,,
R_2TTBH7BwCTmloHK,High,Rocks,0,Because everyone else also wants to take a rock and it wouldn't be fair if he got to and nobody else did.,1,,,,,1,,,,,
R_1oBcDd1w4C4BDZy,High,Rocks,0,Because everyone else wants one too,,,,,,1,,,,,
R_2U4rwuDgmd40iaV,High,Buckets,0,"Because everyone else wants to do it, but is refraining, because doing so would harm the fish.  It would be a selfish act that would damage a habitat if everyone did it.",,,,,,1,,1,,,1
R_DAb8kXpOwMaFPtT,Low,Buckets,0,because everyone else will do it also,,,,,1,,,,,,
R_3knpYnRuPranccp,High,Buckets,1,Because everyone is not doing it.,,1,,,,,,1,,,
230,Low,Rocks,0,because he already took one,,,,,,,,,,,
166,High,Rocks,0,Because he could take all of them and there would be no more left,,,,,,,,,1,,
R_8IJwi6BoAz0xQsN,High,Rocks,0,because he is doing it secretively and the other kids have not taken any,,,,,,,3,1,,,
R_3iEXANsKgJBIjly,Low,Rocks,1,Because he is the only one doing it so there will be no harm done,,1,,1,,,,,,,
R_248VXlJh682wJds,Low,Rocks,1,Because he only is taking one and no one else takes them. He actually likes them.,,1,,1,,,,,,,
204,High,Rocks,0,Because he promised he wouldn't ,,,,,,,,,,,1
227,High,Rocks,1,Because he wants to take it.,,,,,,,,,,,
144,Low,Rocks,1,Because he wants to take one home,,,,,,,,,,,
